epoch,time(s),train_loss,test_loss,test_error(%)
001,00029,3.433529,3.41498,82.76
002,00027,2.753544,2.96055,75.06
003,00027,2.558732,2.66382,68.01
004,00027,2.332433,2.41598,63.58
005,00027,2.208071,2.23411,58.39
006,00027,1.969484,2.06434,55.35
007,00027,1.965657,2.14454,56.41
008,00027,1.868908,1.97541,51.78
009,00027,1.769987,2.00753,53.74
010,00027,1.738155,1.72384,46.99
011,00027,1.618493,1.81440,49.20
012,00027,1.703325,1.87048,49.61
013,00027,1.700544,1.74432,47.08
014,00027,1.726468,1.66778,45.30
015,00027,1.676343,1.68197,45.29
016,00027,1.566779,1.63230,44.63
017,00027,1.557458,1.70975,46.00
018,00027,1.601858,1.63781,43.89
019,00027,1.489769,1.65488,44.63
020,00027,1.517477,1.71175,44.84
021,00027,1.559055,1.75501,46.30
022,00027,1.452639,1.57804,42.82
023,00027,1.425952,1.65591,44.54
024,00027,1.402181,1.63732,43.32
025,00027,1.439457,1.59671,43.01
026,00027,1.450430,1.62243,43.69
027,00027,1.402466,1.51400,41.27
028,00027,1.461495,1.61812,43.37
029,00027,1.357966,1.60625,42.27
030,00027,1.342421,1.57161,42.45
031,00027,1.322207,1.54524,41.75
032,00027,1.287435,1.55066,41.59
033,00027,1.336123,1.44715,39.55
034,00027,1.413811,1.47155,40.13
035,00027,1.340657,1.46348,40.24
036,00027,1.270602,1.46330,39.28
037,00027,1.229835,1.60738,43.11
038,00027,1.245355,1.43170,38.94
039,00027,1.323785,1.51908,39.77
040,00027,1.269566,1.41136,38.79
041,00027,1.133442,1.46756,40.24
042,00027,1.203402,1.43599,38.89
043,00027,1.233147,1.53826,40.81
044,00027,1.209748,1.34834,37.00
045,00027,1.223057,1.35807,36.78
046,00027,1.228815,1.44472,38.32
047,00027,1.171247,1.45479,38.70
048,00027,1.117358,1.34673,36.90
049,00027,1.179490,1.31491,35.48
050,00027,1.161206,1.34464,36.62
051,00027,1.139236,1.36421,36.57
052,00027,1.076777,1.29081,35.11
053,00027,0.981524,1.26640,34.15
054,00027,1.066144,1.29633,35.17
055,00027,1.079719,1.32059,35.72
056,00027,1.071135,1.36002,35.71
057,00027,0.920253,1.33852,35.73
058,00027,0.968833,1.38571,36.46
059,00027,1.014927,1.26852,34.49
060,00027,0.969288,1.30566,35.01
061,00027,0.860082,1.28201,33.50
062,00027,0.885653,1.27197,33.16
063,00027,0.984840,1.27866,33.39
064,00027,0.823567,1.21561,32.38
065,00027,0.829776,1.26458,33.48
066,00027,0.815406,1.18289,31.41
067,00027,0.851145,1.29397,33.56
068,00027,0.796232,1.15068,31.28
069,00027,0.760283,1.23565,32.51
070,00027,0.709828,1.18697,31.49
071,00027,0.709748,1.15503,31.16
072,00027,0.750956,1.18362,31.11
073,00027,0.661263,1.12426,29.73
074,00027,0.634343,1.12461,29.42
075,00027,0.634748,1.17474,30.88
076,00027,0.651758,1.11196,29.13
077,00027,0.570306,1.11956,29.28
078,00027,0.614811,1.15703,29.51
079,00027,0.543383,1.10143,28.88
080,00027,0.523029,1.09380,28.11
081,00027,0.498093,1.12426,28.61
082,00027,0.462227,1.07747,27.75
083,00027,0.445295,1.08121,27.83
084,00027,0.452345,1.07347,27.69
085,00027,0.429711,1.06998,27.11
086,00027,0.446297,1.06603,27.12
087,00027,0.370542,1.06150,26.89
088,00027,0.358903,1.07247,26.82
089,00027,0.377818,1.05291,26.38
090,00027,0.346914,1.05282,26.27
091,00027,0.290358,1.05839,26.18
092,00027,0.340591,1.06705,26.44
093,00027,0.302138,1.05738,26.03
094,00027,0.310965,1.04694,26.04
095,00027,0.290749,1.05357,26.12
096,00027,0.296529,1.04518,25.96
097,00027,0.298140,1.04962,26.10
098,00027,0.268772,1.05349,26.03
099,00027,0.290818,1.04384,26.03
100,00027,0.292370,1.04917,25.92
