epoch,time(s),train_loss,test_loss,test_error(%)
001,00019,3.674202,3.95801,89.68
002,00019,3.174413,3.46297,82.83
003,00019,2.755577,2.73876,71.31
004,00019,2.425865,2.86231,70.49
005,00019,2.215355,2.33446,61.37
006,00019,1.961223,2.32875,61.40
007,00019,1.990067,2.10397,56.31
008,00019,1.898314,2.12154,55.83
009,00019,1.829243,2.14272,56.29
010,00019,1.677980,2.19892,57.25
011,00019,1.744094,1.89230,51.90
012,00019,1.707310,1.90994,51.22
013,00019,1.612419,1.74545,48.15
014,00019,1.572176,1.89890,49.59
015,00019,1.583827,1.76490,47.98
016,00019,1.467134,1.72205,47.65
017,00019,1.526355,1.70329,46.30
018,00019,1.441193,1.70407,46.71
019,00019,1.503786,1.64011,45.52
020,00019,1.569802,1.57107,43.69
021,00019,1.444217,1.72941,46.86
022,00019,1.427334,1.73567,46.78
023,00019,1.432381,1.81531,47.70
024,00019,1.375208,1.67538,45.47
025,00019,1.421694,1.85504,48.84
026,00019,1.278167,1.73378,45.91
027,00019,1.367150,1.58252,43.90
028,00019,1.372395,1.71848,46.21
029,00019,1.290683,1.57927,42.65
030,00019,1.352530,1.48070,41.14
031,00019,1.229714,1.56014,42.31
032,00019,1.240619,1.51411,41.43
033,00019,1.314971,1.55601,42.47
034,00019,1.274673,1.57715,42.76
035,00019,1.232232,1.58898,42.90
036,00019,1.276554,1.57774,42.82
037,00019,1.184225,1.49404,40.46
038,00019,1.281961,1.52961,42.03
039,00019,1.360079,1.46295,39.84
040,00019,1.215082,1.42610,38.55
041,00019,1.240433,1.44757,39.50
042,00019,1.210524,1.43002,38.97
043,00019,1.151197,1.34210,37.53
044,00019,1.132201,1.42353,39.65
045,00019,1.169693,1.36206,37.40
046,00019,1.158085,1.43902,39.58
047,00019,1.094397,1.30114,35.89
048,00019,1.107636,1.35730,37.46
049,00019,1.023485,1.30219,36.46
050,00019,1.049886,1.41733,38.11
051,00019,1.048025,1.36769,37.37
052,00019,1.030144,1.35667,37.27
053,00019,1.081931,1.26362,35.60
054,00019,1.029924,1.19773,33.67
055,00019,0.948302,1.21053,33.81
056,00019,0.977694,1.17375,32.73
057,00019,0.961070,1.32712,36.47
058,00019,0.955271,1.22220,33.65
059,00019,0.960649,1.20943,33.77
060,00019,0.937487,1.24519,34.34
061,00019,0.783789,1.26800,34.63
062,00019,0.904496,1.26861,34.73
063,00019,0.807416,1.18239,32.04
064,00019,0.788307,1.20259,32.56
065,00019,0.824771,1.12395,31.99
066,00019,0.824074,1.19731,32.84
067,00019,0.833754,1.18573,32.89
068,00019,0.810591,1.17274,32.13
069,00019,0.765355,1.10934,30.87
070,00019,0.752507,1.11059,30.65
071,00019,0.685608,1.13582,30.30
072,00019,0.648086,1.09024,30.20
073,00019,0.666367,1.07829,29.38
074,00019,0.595231,1.05465,28.50
075,00019,0.614847,1.05607,28.88
076,00019,0.605871,1.09257,29.31
077,00019,0.562935,1.05762,28.27
078,00019,0.480875,1.04579,28.06
079,00019,0.492285,1.05121,27.94
080,00019,0.467896,1.03145,26.95
081,00019,0.455113,1.01624,26.68
082,00019,0.405469,1.01362,26.52
083,00019,0.378629,1.00529,25.98
084,00019,0.360004,0.98751,25.54
085,00019,0.331634,0.97766,25.09
086,00019,0.299594,0.99069,25.27
087,00019,0.284688,0.98703,25.34
088,00019,0.228789,0.97367,25.06
089,00019,0.224091,0.98098,24.92
090,00019,0.224216,0.97757,24.62
091,00019,0.204203,0.97374,24.14
092,00019,0.206186,0.96966,24.28
093,00019,0.194389,0.96977,24.09
094,00019,0.188903,0.96995,23.84
095,00019,0.167531,0.97393,24.00
096,00019,0.187836,0.97235,23.86
097,00019,0.153454,0.97248,23.88
098,00019,0.143544,0.97128,23.93
099,00019,0.136998,0.96752,23.88
100,00019,0.157754,0.97000,24.04
