epoch,time(s),train_loss,test_loss,test_error(%)
001,00016,1.063150,1.10798,38.24
002,00015,0.805992,0.86239,29.61
003,00015,0.725139,0.73928,24.75
004,00015,0.646672,0.75309,25.40
005,00015,0.599304,0.61806,21.65
006,00015,0.566575,0.68101,22.51
007,00015,0.559971,0.57473,19.56
008,00015,0.590439,0.51855,17.57
009,00015,0.570204,0.52455,17.80
010,00015,0.514070,0.49925,17.33
011,00015,0.493374,0.51579,17.39
012,00015,0.528695,0.54926,18.61
013,00015,0.558435,0.51876,17.61
014,00015,0.512255,0.55954,18.48
015,00015,0.492011,0.49711,16.68
016,00015,0.465902,0.51981,17.61
017,00015,0.502772,0.45765,15.45
018,00015,0.426926,0.54126,17.43
019,00015,0.444523,0.52595,17.64
020,00015,0.428120,0.51569,16.71
021,00015,0.433160,0.51645,17.46
022,00015,0.512349,0.53015,16.96
023,00015,0.455927,0.60304,19.13
024,00015,0.428032,0.46292,15.33
025,00015,0.448178,0.50030,16.82
026,00015,0.375077,0.44917,14.68
027,00015,0.450109,0.43598,14.48
028,00015,0.469741,0.51171,17.01
029,00015,0.444613,0.53427,17.00
030,00015,0.424774,0.42648,14.36
031,00015,0.407889,0.48694,15.84
032,00015,0.400071,0.43888,14.77
033,00015,0.431002,0.52992,16.43
034,00015,0.455485,0.53353,16.68
035,00015,0.346917,0.41330,14.06
036,00015,0.423096,0.44665,14.63
037,00015,0.368019,0.50258,15.65
038,00015,0.376737,0.48237,15.57
039,00015,0.369371,0.41800,13.45
040,00015,0.402052,0.44248,14.45
041,00015,0.337421,0.46394,15.17
042,00015,0.410021,0.41496,13.87
043,00015,0.352440,0.49444,15.13
044,00015,0.395059,0.58363,17.93
045,00015,0.335199,0.40107,13.18
046,00015,0.358029,0.38202,12.65
047,00015,0.335018,0.42848,14.36
048,00015,0.310739,0.37717,12.32
049,00015,0.362864,0.37687,12.73
050,00015,0.305135,0.34372,11.33
051,00015,0.376017,0.38078,12.53
052,00015,0.297371,0.39186,12.74
053,00015,0.314841,0.34025,11.11
054,00015,0.282979,0.41249,12.99
055,00015,0.311032,0.46653,14.41
056,00015,0.328380,0.35185,11.27
057,00015,0.314939,0.43124,12.90
058,00015,0.270535,0.37558,11.43
059,00015,0.293173,0.33029,10.60
060,00015,0.279511,0.31978,10.40
061,00015,0.299264,0.34845,11.21
062,00015,0.267616,0.34984,10.98
063,00015,0.225090,0.37370,11.65
064,00015,0.285367,0.34496,11.08
065,00015,0.245051,0.31940,10.36
066,00015,0.244725,0.33538,10.80
067,00015,0.206857,0.33628,10.62
068,00015,0.257183,0.32360,10.26
069,00015,0.208820,0.35170,10.64
070,00015,0.226560,0.30985,9.62
071,00015,0.189554,0.26886,8.56
072,00015,0.201294,0.32230,9.85
073,00015,0.188450,0.28653,9.15
074,00015,0.211515,0.27560,8.43
075,00015,0.169184,0.27195,8.67
076,00015,0.152781,0.28110,8.73
077,00015,0.138473,0.28367,8.21
078,00015,0.138060,0.26128,8.34
079,00015,0.157367,0.27281,8.41
080,00015,0.130958,0.27564,8.34
081,00015,0.115357,0.24408,7.64
082,00015,0.122068,0.23867,7.28
083,00015,0.124166,0.25635,7.60
084,00015,0.097358,0.24401,7.29
085,00015,0.104561,0.24524,7.59
086,00015,0.087597,0.24016,7.19
087,00015,0.086268,0.24684,7.53
088,00015,0.061533,0.24055,7.13
089,00015,0.086448,0.23813,6.97
090,00015,0.090307,0.24072,6.88
091,00015,0.062837,0.24048,6.83
092,00015,0.074672,0.23839,6.85
093,00015,0.051816,0.23819,6.78
094,00015,0.082473,0.23218,6.69
095,00015,0.057445,0.23804,6.80
096,00015,0.049893,0.23910,6.81
097,00015,0.059763,0.23631,6.74
098,00015,0.059392,0.23819,6.70
099,00015,0.066241,0.23571,6.67
100,00015,0.050509,0.23670,6.70
