epoch,time(s),train_loss,test_loss,test_error(%)
001,00023,1.314188,1.30065,45.82
002,00022,1.030391,1.28007,43.54
003,00022,0.882773,1.00986,34.71
004,00022,0.790642,1.01058,34.11
005,00022,0.733304,0.79885,26.60
006,00022,0.719962,0.87961,29.69
007,00022,0.658595,0.79583,26.02
008,00022,0.636854,0.74507,24.26
009,00022,0.571078,0.79437,26.01
010,00022,0.538658,0.80261,26.81
011,00022,0.559811,0.67368,22.42
012,00022,0.559303,0.54512,18.26
013,00022,0.563698,0.56001,18.99
014,00022,0.569390,0.67184,21.90
015,00022,0.493540,0.58317,19.45
016,00022,0.525669,0.77284,24.57
017,00022,0.571587,0.69098,22.34
018,00022,0.498279,0.49845,17.23
019,00022,0.433114,0.58691,19.06
020,00022,0.497057,0.73223,22.76
021,00022,0.426937,0.51617,17.32
022,00022,0.431248,0.48306,15.65
023,00022,0.483687,0.46110,15.03
024,00022,0.381008,0.45487,15.29
025,00022,0.425787,0.57633,18.44
026,00022,0.428014,0.47735,15.88
027,00022,0.408954,0.57464,18.77
028,00022,0.439988,0.48672,16.20
029,00022,0.403850,0.61126,19.90
030,00022,0.429577,0.66125,20.43
031,00022,0.349239,0.39267,13.36
032,00023,0.379637,0.62611,20.25
033,00023,0.316657,0.40875,14.03
034,00023,0.352449,0.59623,18.85
035,00022,0.406406,0.47934,15.97
036,00022,0.346849,0.42968,14.23
037,00023,0.372086,0.41807,14.21
038,00023,0.349604,0.45833,14.89
039,00024,0.391852,0.45537,15.13
040,00024,0.382479,0.47921,15.74
041,00023,0.329475,0.44510,14.67
042,00023,0.351337,0.54231,17.31
043,00024,0.370374,0.38823,12.70
044,00023,0.335099,0.41801,13.69
045,00024,0.368438,0.39855,12.98
046,00023,0.326268,0.41388,13.47
047,00023,0.334313,0.45250,13.76
048,00024,0.312369,0.34782,11.81
049,00024,0.313803,0.35319,11.77
050,00024,0.335089,0.36982,12.46
051,00024,0.278604,0.35418,11.78
052,00023,0.279952,0.38326,12.50
053,00024,0.265923,0.37524,11.98
054,00024,0.293333,0.45827,14.38
055,00024,0.304044,0.38164,12.52
056,00024,0.273834,0.32387,10.41
057,00023,0.242466,0.32963,11.10
058,00023,0.284875,0.39834,12.92
059,00024,0.286935,0.32104,10.76
060,00024,0.234089,0.30157,9.99
061,00024,0.265549,0.33741,10.73
062,00023,0.242389,0.31194,10.10
063,00023,0.215321,0.31419,10.65
064,00024,0.190603,0.30368,9.39
065,00024,0.231084,0.30077,9.53
066,00024,0.245440,0.33073,10.49
067,00024,0.160052,0.27656,8.82
068,00023,0.185335,0.31693,10.32
069,00024,0.187932,0.25817,8.44
070,00024,0.140280,0.29907,9.44
071,00024,0.189815,0.25209,8.05
072,00024,0.171407,0.29116,9.15
073,00023,0.166029,0.24057,7.64
074,00023,0.142007,0.26558,8.27
075,00024,0.148685,0.24310,7.71
076,00023,0.129573,0.27288,8.17
077,00024,0.116617,0.23935,7.73
078,00024,0.130811,0.25709,7.78
079,00023,0.110982,0.24211,7.50
080,00024,0.099070,0.23917,7.31
081,00024,0.075520,0.22601,6.72
082,00024,0.077259,0.23475,6.97
083,00024,0.071275,0.21976,6.48
084,00023,0.078206,0.23291,6.72
085,00024,0.059280,0.22656,6.46
086,00024,0.052666,0.21375,6.15
087,00024,0.043401,0.21595,6.18
088,00024,0.043755,0.22046,5.96
089,00024,0.052501,0.20713,5.74
090,00023,0.028462,0.20870,5.80
091,00024,0.023294,0.20868,5.79
092,00024,0.034534,0.21149,5.82
093,00024,0.021700,0.20639,5.67
094,00024,0.033509,0.21580,5.82
095,00023,0.022717,0.20819,5.60
096,00024,0.016870,0.20686,5.65
097,00024,0.020166,0.20968,5.69
098,00024,0.017185,0.20783,5.75
099,00024,0.029604,0.20846,5.59
100,00023,0.016711,0.20744,5.58
