epoch,time(s),train_loss,test_loss,test_error(%)
001,00107,6.289485,3.99703,90.97
002,00107,5.936920,3.54542,84.19
003,00109,5.464854,3.58137,81.05
004,00107,5.305839,2.99890,74.21
005,00107,5.012338,2.73004,65.82
006,00107,4.798227,2.48825,62.31
007,00107,4.662390,2.23059,57.43
008,00107,4.641848,2.20857,58.06
009,00107,4.521075,2.29599,57.83
010,00107,4.571431,2.23283,55.80
011,00107,4.330539,1.91988,49.95
012,00107,4.371356,2.08195,52.78
013,00107,4.336304,1.88122,48.65
014,00107,4.218026,2.01149,50.88
015,00107,4.276864,2.25066,55.67
016,00107,4.193490,1.95142,49.32
017,00107,4.225384,1.95148,49.82
018,00107,4.279391,2.08385,52.52
019,00107,4.207984,1.98128,50.37
020,00107,4.254579,1.88738,48.81
021,00107,4.143209,1.86416,47.79
022,00107,4.227551,1.84656,46.63
023,00107,4.183143,2.14841,52.63
024,00108,4.083086,1.86924,47.47
025,00107,4.049258,1.74640,43.85
026,00107,4.101987,1.71913,45.27
027,00107,4.153828,1.74437,45.08
028,00107,4.122166,1.67500,43.62
029,00107,4.023268,1.67855,42.66
030,00108,4.075207,1.69648,43.61
031,00107,4.065593,1.61116,42.27
032,00107,4.105049,1.83769,46.64
033,00107,4.058717,1.59929,41.50
034,00107,4.106750,1.75562,44.86
035,00107,3.900554,1.63271,41.54
036,00107,3.978467,1.75421,43.06
037,00107,4.037833,1.52033,39.95
038,00107,3.877076,1.59923,40.24
039,00107,3.921396,1.52871,38.37
040,00107,3.899415,1.84749,45.74
041,00107,3.797800,1.53751,39.90
042,00107,3.835267,1.74985,44.68
043,00107,3.882320,1.68320,41.40
044,00107,3.936710,1.45809,38.00
045,00107,3.892759,1.44620,37.98
046,00107,3.882300,1.43036,36.88
047,00107,3.812133,1.41135,36.43
048,00106,3.827230,1.80132,44.59
049,00106,3.830875,1.45428,37.45
050,00106,3.792293,1.43953,36.99
051,00106,3.812014,1.48683,37.90
052,00106,3.753493,1.35567,34.97
053,00105,3.764518,1.38529,35.91
054,00105,3.704256,1.42261,36.83
055,00106,3.768301,1.48445,37.98
056,00106,3.694596,1.32498,33.92
057,00107,3.522086,1.43364,36.23
058,00107,3.714180,1.37790,34.47
059,00107,3.595197,1.28956,32.89
060,00107,3.621234,1.27590,32.12
061,00107,3.654239,1.37200,34.82
062,00107,3.531257,1.34625,33.81
063,00107,3.505494,1.23791,31.83
064,00106,3.606852,1.21674,32.20
065,00106,3.489318,1.32090,33.83
066,00105,3.571316,1.29269,32.00
067,00105,3.462884,1.18870,30.22
068,00105,3.509094,1.16373,29.72
069,00105,3.483401,1.24595,31.84
070,00106,3.364118,1.18853,30.25
071,00107,3.361042,1.14523,28.61
072,00107,3.427012,1.10583,28.20
073,00107,3.221716,1.19842,30.31
074,00107,3.208738,1.09187,27.28
075,00107,3.249636,1.10301,27.57
076,00107,3.190990,1.13622,27.95
077,00107,3.305190,1.06199,26.68
078,00106,3.175621,1.09207,27.51
079,00106,3.241869,1.09992,27.11
080,00106,3.229418,1.02674,25.52
081,00106,3.039407,1.03723,25.60
082,00106,3.176118,1.02761,25.44
083,00105,3.037651,1.02845,24.91
084,00105,3.093410,1.00588,24.10
085,00105,3.078530,1.01283,24.54
086,00106,3.068576,0.99938,24.64
087,00107,3.041289,0.99075,24.17
088,00107,2.932616,0.96430,23.42
089,00107,2.934574,0.98192,23.36
090,00107,2.910729,0.99392,22.87
091,00107,2.904156,0.98456,23.35
092,00107,2.944779,0.98273,22.87
093,00107,3.032671,1.00832,23.08
094,00106,2.842755,0.96925,22.61
095,00106,2.847225,0.97401,22.72
096,00106,2.848665,1.00171,22.99
097,00105,2.773003,0.97867,22.94
098,00106,2.772210,0.97378,22.78
099,00105,2.863504,0.99820,23.13
100,00105,2.972332,1.00987,23.28
