epoch,time(s),train_loss,test_loss,test_error(%)
001,00093,2.436857,1.23185,41.96
002,00089,2.211850,1.03120,35.46
003,00090,2.038817,0.72703,24.41
004,00090,2.145899,0.74552,24.39
005,00090,1.882081,0.69137,21.88
006,00090,1.857126,0.60124,18.64
007,00090,1.853080,0.55362,18.09
008,00090,1.949447,0.61104,17.87
009,00090,1.798635,0.52885,16.78
010,00090,1.827171,0.53835,16.59
011,00090,1.824198,0.48648,14.75
012,00090,1.760954,0.64209,19.57
013,00090,1.897484,0.48001,14.65
014,00090,1.740999,0.48038,14.44
015,00090,1.770209,0.51131,14.98
016,00090,1.724558,0.45383,14.39
017,00090,1.807757,0.48330,14.70
018,00090,1.763297,0.45140,14.06
019,00090,1.745771,0.48015,14.42
020,00090,1.726835,0.44672,13.61
021,00090,1.757192,0.45768,13.33
022,00090,1.785329,0.47342,14.67
023,00090,1.722452,0.41062,12.39
024,00090,1.669015,0.40638,12.92
025,00090,1.710980,0.47852,15.16
026,00090,1.707152,0.40371,11.78
027,00090,1.749565,0.47589,13.35
028,00090,1.757039,0.43020,12.91
029,00090,1.702952,0.39766,12.06
030,00090,1.670839,0.43051,12.81
031,00090,1.758403,0.39560,11.82
032,00090,1.692124,0.48443,14.14
033,00090,1.737656,0.36972,11.61
034,00090,1.725681,0.49969,14.67
035,00090,1.606368,0.51259,15.54
036,00090,1.629291,0.38765,11.32
037,00090,1.661736,0.37674,11.21
038,00090,1.670518,0.33978,10.20
039,00090,1.688721,0.36816,11.05
040,00090,1.717855,0.39290,11.80
041,00090,1.638249,0.33386,10.70
042,00090,1.636283,0.38107,11.60
043,00090,1.700319,0.41052,12.23
044,00090,1.713596,0.35991,10.99
045,00090,1.693128,0.39127,11.88
046,00090,1.666547,0.37191,11.40
047,00090,1.665730,0.38856,11.72
048,00090,1.590212,0.35847,11.38
049,00090,1.600540,0.33290,9.98
050,00090,1.550167,0.35329,10.49
051,00090,1.587871,0.37342,11.24
052,00090,1.719969,0.36831,10.22
053,00090,1.578137,0.33503,10.15
054,00090,1.654119,0.35145,10.79
055,00090,1.660806,0.33573,9.56
056,00090,1.561079,0.34486,10.34
057,00090,1.582929,0.33507,10.30
058,00090,1.598146,0.33553,8.89
059,00090,1.605316,0.30307,9.02
060,00090,1.570484,0.35281,9.97
061,00090,1.651304,0.28499,8.35
062,00090,1.540073,0.28900,8.72
063,00090,1.527063,0.29953,9.17
064,00090,1.568294,0.29709,9.14
065,00090,1.550552,0.32116,9.03
066,00090,1.598925,0.30994,8.87
067,00090,1.518289,0.29083,8.17
068,00090,1.544417,0.25679,7.73
069,00090,1.547443,0.28747,8.89
070,00090,1.470089,0.25533,7.62
071,00090,1.489076,0.26698,7.93
072,00090,1.590730,0.29435,8.90
073,00090,1.481143,0.25994,7.61
074,00090,1.452851,0.25516,7.25
075,00090,1.447682,0.24208,6.92
076,00090,1.462101,0.30505,8.49
077,00090,1.503095,0.28406,7.55
078,00090,1.390638,0.23647,6.59
079,00090,1.513173,0.23836,6.88
080,00090,1.436509,0.23676,6.87
081,00090,1.400164,0.23169,6.50
082,00090,1.408227,0.24163,6.49
083,00090,1.394821,0.21247,6.04
084,00090,1.391292,0.21009,6.09
085,00090,1.412630,0.22754,5.95
086,00089,1.437046,0.21979,6.02
087,00090,1.340286,0.20988,5.89
088,00090,1.365005,0.20083,5.39
089,00089,1.313570,0.19947,5.41
090,00090,1.370103,0.20329,5.43
091,00089,1.345467,0.20096,5.04
092,00089,1.333916,0.19547,5.21
093,00090,1.372207,0.20270,5.35
094,00089,1.360377,0.19599,4.93
095,00090,1.326576,0.19345,5.03
096,00090,1.325785,0.19571,4.92
097,00090,1.319864,0.19454,5.08
098,00090,1.322684,0.19503,4.94
099,00090,1.368751,0.21511,5.44
100,00089,1.363974,0.20050,5.11
