epoch,time(s),train_loss,test_loss,test_error(%)
001,00053,2.473092,1.18502,41.67
002,00050,2.192454,0.99159,33.03
003,00050,2.104009,0.81468,26.47
004,00051,2.048495,0.78705,25.34
005,00050,1.961483,0.78103,25.21
006,00050,1.851370,0.57941,18.80
007,00051,1.902706,0.60667,19.72
008,00051,1.858423,0.59778,19.17
009,00051,1.923019,0.60695,19.52
010,00051,1.808969,0.51088,16.61
011,00051,1.887612,0.60321,19.16
012,00051,1.796705,0.50037,15.70
013,00051,1.842825,0.51493,16.39
014,00051,1.849634,0.52606,16.06
015,00051,1.830598,0.44532,14.11
016,00051,1.786988,0.45321,13.98
017,00051,1.746516,0.53208,16.25
018,00051,1.742178,0.49534,15.50
019,00051,1.703354,0.48500,15.65
020,00051,1.764236,0.41796,13.37
021,00051,1.802057,0.45786,14.19
022,00051,1.743955,0.42514,12.92
023,00051,1.760436,0.48441,15.05
024,00051,1.755780,0.46433,14.16
025,00051,1.797980,0.48494,15.30
026,00051,1.731139,0.48223,15.21
027,00051,1.656005,0.44084,13.28
028,00051,1.745934,0.43155,13.53
029,00051,1.641525,0.49672,14.09
030,00051,1.755594,0.37962,11.43
031,00051,1.719723,0.42853,12.84
032,00051,1.717497,0.39551,11.61
033,00051,1.689628,0.43859,13.24
034,00051,1.649705,0.48233,13.93
035,00051,1.718218,0.38832,11.55
036,00051,1.630700,0.43367,13.17
037,00051,1.664534,0.42155,13.01
038,00051,1.711503,0.47348,14.65
039,00051,1.707238,0.37713,11.19
040,00051,1.732704,0.43192,12.60
041,00051,1.613919,0.44000,13.35
042,00051,1.631963,0.37779,11.81
043,00051,1.705956,0.41148,12.37
044,00051,1.659375,0.38228,12.33
045,00051,1.662938,0.40066,12.28
046,00051,1.653594,0.41389,12.74
047,00051,1.674768,0.39064,10.97
048,00051,1.616736,0.40940,12.95
049,00051,1.643310,0.36323,11.53
050,00051,1.562610,0.30154,9.24
051,00051,1.657619,0.35857,10.72
052,00051,1.576122,0.36467,10.71
053,00051,1.656683,0.39955,11.23
054,00051,1.516194,0.33663,10.32
055,00051,1.624628,0.36727,10.31
056,00051,1.633143,0.31625,9.76
057,00051,1.638930,0.30692,9.88
058,00051,1.572286,0.30565,8.80
059,00051,1.530838,0.32488,9.56
060,00051,1.637545,0.31895,9.23
061,00051,1.536563,0.30471,9.30
062,00051,1.559615,0.32390,8.89
063,00051,1.535406,0.30620,9.17
064,00051,1.516936,0.29857,8.58
065,00051,1.658917,0.40373,11.69
066,00051,1.484484,0.31384,8.75
067,00051,1.604126,0.29996,8.82
068,00051,1.464293,0.30911,9.33
069,00051,1.450721,0.26799,7.83
070,00051,1.510916,0.28056,8.46
071,00051,1.554908,0.28259,7.97
072,00051,1.548120,0.30898,9.32
073,00051,1.474881,0.28001,8.08
074,00051,1.456505,0.27448,7.93
075,00051,1.499117,0.24481,7.20
076,00051,1.429735,0.27221,7.92
077,00051,1.469461,0.27168,7.82
078,00051,1.365464,0.24607,7.06
079,00051,1.389086,0.23915,6.96
080,00051,1.489114,0.23091,6.77
081,00051,1.424049,0.24332,6.63
082,00051,1.396541,0.23130,6.35
083,00051,1.408101,0.24551,6.56
084,00051,1.375426,0.22944,6.28
085,00051,1.375883,0.21097,5.70
086,00051,1.362307,0.23141,6.07
087,00051,1.386484,0.22080,6.12
088,00051,1.354407,0.22119,6.15
089,00051,1.342307,0.21871,5.75
090,00051,1.419934,0.21423,5.69
091,00051,1.336812,0.20935,5.61
092,00051,1.334259,0.20593,5.64
093,00051,1.334835,0.20574,5.51
094,00051,1.309542,0.20523,5.48
095,00051,1.353119,0.20876,5.61
096,00051,1.316325,0.20769,5.43
097,00051,1.313573,0.20628,5.50
098,00051,1.381681,0.21249,5.47
099,00051,1.315632,0.20394,5.32
100,00051,1.308101,0.20284,5.37
