epoch,time(s),train_loss,test_loss,test_error(%)
001,00057,2.736625,1.47955,53.25
002,00056,2.333944,1.18722,40.23
003,00066,2.318613,1.32213,43.96
004,00056,2.113250,0.81002,25.62
005,00056,2.080699,1.00867,31.25
006,00056,1.964309,0.78379,24.91
007,00056,1.925545,0.76215,23.92
008,00056,1.967499,0.73388,23.27
009,00056,1.941446,0.99589,30.75
010,00056,1.807246,0.63706,19.68
011,00056,1.877712,0.67920,20.57
012,00056,1.846886,0.57251,17.29
013,00056,1.827266,0.60663,18.62
014,00056,1.790479,0.65888,20.03
015,00056,1.792550,0.60460,18.29
016,00070,1.788396,0.56543,17.77
017,00056,1.834479,0.52443,16.45
018,00056,1.725609,0.45438,13.96
019,00056,1.769744,0.54470,15.80
020,00056,1.726007,0.48530,15.64
021,00056,1.760465,0.54689,16.45
022,00056,1.739268,0.45529,13.59
023,00056,1.714166,0.52267,15.14
024,00056,1.753745,0.61524,17.00
025,00056,1.824999,0.48605,15.18
026,00056,1.698356,0.46310,13.81
027,00055,1.681781,0.55313,13.27
028,00056,1.719864,0.65448,17.92
029,00055,1.645905,0.50819,15.73
030,00055,1.716376,0.48598,15.45
031,00055,1.686578,0.47331,13.95
032,00055,1.691087,0.44125,13.28
033,00055,1.663806,0.40517,12.48
034,00055,1.680885,0.37273,11.79
035,00056,1.643742,0.62502,18.17
036,00055,1.635529,0.43615,11.91
037,00055,1.605706,0.40199,12.45
038,00055,1.613077,0.49484,15.17
039,00055,1.659957,0.42584,11.38
040,00055,1.710349,0.53876,16.73
041,00055,1.585023,0.44865,12.83
042,00055,1.619793,0.55470,15.47
043,00054,1.603591,0.40155,12.21
044,00055,1.650437,0.49746,15.42
045,00054,1.624295,0.43499,13.33
046,00055,1.637672,0.38427,10.73
047,00055,1.626688,0.45408,13.64
048,00054,1.564441,0.44554,12.36
049,00055,1.639389,0.38996,11.66
050,00054,1.546515,0.37740,10.88
051,00055,1.602404,0.37392,10.86
052,00054,1.541082,0.43173,13.09
053,00055,1.589189,0.48655,14.72
054,00055,1.543292,0.44092,12.77
055,00055,1.547163,0.35478,10.48
056,00055,1.548014,0.36260,10.51
057,00055,1.602595,0.31528,9.17
058,00055,1.514919,0.35524,9.97
059,00055,1.591167,0.38425,11.56
060,00055,1.550988,0.41174,12.13
061,00055,1.586283,0.31657,9.18
062,00055,1.528793,0.33642,8.67
063,00055,1.518839,0.33157,9.61
064,00055,1.474353,0.30531,8.66
065,00055,1.658424,0.34447,9.35
066,00055,1.466896,0.28318,8.04
067,00055,1.565844,0.31714,9.25
068,00055,1.457621,0.28433,8.09
069,00055,1.450822,0.23964,6.90
070,00055,1.502864,0.23915,7.11
071,00055,1.571158,0.26180,8.06
072,00055,1.512745,0.28070,7.37
073,00055,1.427748,0.26158,6.85
074,00055,1.410765,0.23678,6.48
075,00055,1.440301,0.24310,6.58
076,00055,1.371070,0.21840,6.18
077,00055,1.410234,0.23562,6.12
078,00055,1.346125,0.22278,6.15
079,00055,1.341634,0.21768,6.25
080,00055,1.407637,0.24957,6.38
081,00055,1.354371,0.21011,5.62
082,00055,1.379161,0.21728,5.71
083,00055,1.340398,0.22233,5.75
084,00055,1.323389,0.20934,5.34
085,00055,1.337213,0.20168,5.37
086,00055,1.326069,0.21826,5.20
087,00055,1.328085,0.20014,5.20
088,00055,1.323385,0.19509,4.91
089,00055,1.319384,0.19242,4.96
090,00055,1.356168,0.20348,4.94
091,00055,1.274517,0.19762,4.89
092,00055,1.268710,0.18703,4.65
093,00054,1.273145,0.18924,4.77
094,00055,1.253273,0.18769,4.66
095,00055,1.323603,0.19635,4.61
096,00055,1.249972,0.18603,4.78
097,00055,1.267422,0.18760,4.52
098,00055,1.323101,0.19134,4.57
099,00055,1.263450,0.18723,4.50
100,00054,1.252659,0.18278,4.61
