epoch,time(s),train_loss,test_loss,test_error(%)
001,00347,0.143356,0.17533,4.84
002,00346,0.070716,0.14528,3.91
003,00346,0.093557,0.14258,3.65
004,00346,0.085470,0.12902,3.39
005,00346,0.088096,0.13353,3.63
006,00346,0.072474,0.12392,3.15
007,00346,0.076872,0.11525,2.90
008,00346,0.091393,0.12790,3.33
009,00346,0.079270,0.12939,3.37
010,00346,0.050618,0.11374,2.99
011,00346,0.066201,0.10619,2.58
012,00346,0.111290,0.10017,2.41
013,00346,0.054679,0.10101,2.55
014,00346,0.047165,0.09655,2.30
015,00346,0.060015,0.09028,2.17
016,00346,0.058139,0.08829,2.10
017,00346,0.039423,0.08706,2.06
018,00346,0.055761,0.08420,2.00
019,00346,0.039211,0.08210,1.97
020,00346,0.045113,0.08198,1.95
