epoch,time(s),train_loss,test_loss,test_error(%)
001,00169,0.089906,0.17789,4.92
002,00169,0.104075,0.14535,3.75
003,00169,0.077789,0.13515,3.56
004,00169,0.089851,0.13538,3.68
005,00169,0.094384,0.12981,3.36
006,00169,0.083510,0.12549,3.33
007,00169,0.095125,0.12070,3.09
008,00170,0.074433,0.11278,2.80
009,00170,0.066460,0.12696,3.46
010,00170,0.048608,0.11281,2.88
011,00169,0.073505,0.10405,2.49
012,00170,0.063083,0.10426,2.60
013,00169,0.047983,0.09542,2.35
014,00169,0.055034,0.09547,2.32
015,00169,0.059875,0.09091,2.18
016,00169,0.042236,0.08776,2.11
017,00170,0.062073,0.08626,2.02
018,00169,0.043328,0.08494,2.00
019,00170,0.041365,0.08286,1.99
020,00169,0.024095,0.08269,1.99
