epoch,time(s),train_loss,test_loss,test_error(%)
001,00156,0.116184,0.19803,5.21
002,00156,0.098797,0.16076,4.29
003,00155,0.095005,0.12584,3.26
004,00155,0.089482,0.11956,3.06
005,00155,0.091524,0.11974,3.05
006,00155,0.081970,0.13047,3.50
007,00156,0.095800,0.10031,2.43
008,00156,0.079128,0.13357,3.63
009,00156,0.066950,0.10090,2.48
010,00155,0.051111,0.09859,2.51
011,00156,0.079923,0.09869,2.60
012,00155,0.055810,0.09767,2.49
013,00156,0.060725,0.08012,1.91
014,00156,0.043476,0.08500,1.98
015,00155,0.065445,0.08241,2.03
016,00155,0.040236,0.08049,1.89
017,00155,0.027789,0.07529,1.69
018,00155,0.020934,0.07606,1.72
019,00155,0.021584,0.07584,1.71
020,00156,0.031297,0.07580,1.74
