epoch,time(s),train_loss,test_loss,test_error(%)
001,00331,0.093278,0.19595,5.34
002,00330,0.122457,0.14568,3.80
003,00330,0.102247,0.16622,4.48
004,00330,0.077478,0.16458,4.65
005,00330,0.070881,0.13220,3.51
006,00330,0.090389,0.13159,3.37
007,00330,0.061593,0.12339,3.22
008,00330,0.068788,0.11222,2.90
009,00330,0.062959,0.09688,2.39
010,00330,0.071954,0.09622,2.42
011,00330,0.058178,0.09112,2.25
012,00330,0.042135,0.08785,2.14
013,00330,0.034856,0.08696,2.20
014,00330,0.052136,0.08388,2.05
015,00330,0.049144,0.08305,1.98
016,00330,0.053658,0.08083,1.92
017,00330,0.035011,0.07886,1.84
018,00330,0.040014,0.07646,1.70
019,00330,0.023085,0.07723,1.74
020,00330,0.042372,0.07649,1.73
