epoch,time(s),train_loss,test_loss,test_error(%)
001,01049,1.294950,0.19343,5.18
002,01046,1.257008,0.16461,4.12
003,01046,1.230280,0.13844,3.42
004,01046,1.229087,0.19009,5.13
005,01046,1.239947,0.13448,3.48
006,01046,1.246905,0.12692,3.23
007,01046,1.232616,0.11912,3.02
008,01046,1.236581,0.11084,2.80
009,01046,1.231652,0.12162,3.08
010,01046,1.205061,0.10766,2.74
011,01045,1.230061,0.11243,2.90
012,01046,1.197406,0.09838,2.32
013,01046,1.197120,0.09535,2.28
014,01046,1.233432,0.09171,2.15
015,01046,1.186702,0.09033,2.16
016,01046,1.202575,0.08873,2.21
017,01046,1.211885,0.08450,2.00
018,01046,1.184353,0.08169,1.85
019,01046,1.202838,0.08100,1.89
020,01046,1.196858,0.08123,1.89
