epoch,time(s),train_loss,test_loss,test_error(%)
001,00649,1.256897,0.17941,4.72
002,00507,1.256832,0.17015,4.24
003,00506,1.242509,0.14222,3.57
004,00507,1.253924,0.14030,3.57
005,00507,1.215514,0.17279,4.80
006,00507,1.241849,0.12274,3.13
007,00507,1.209345,0.12347,3.16
008,00504,1.262715,0.10962,2.66
009,00507,1.204225,0.12381,3.19
010,00506,1.231812,0.12880,3.32
011,00507,1.233492,0.10590,2.67
012,00506,1.218370,0.10583,2.63
013,00506,1.229904,0.09954,2.48
014,00507,1.227723,0.09947,2.46
015,00507,1.199494,0.09351,2.34
016,00505,1.204820,0.08861,2.11
017,00507,1.189022,0.08445,1.99
018,00507,1.194235,0.08306,1.99
019,00507,1.202685,0.08328,2.02
020,00508,1.192437,0.08319,2.02
