epoch,time(s),train_loss,test_loss,test_error(%)
001,01196,1.279103,0.24116,6.71
002,01028,1.249881,0.16880,4.43
003,01028,1.234460,0.14176,3.57
004,01028,1.248625,0.14309,3.71
005,01027,1.227730,0.12376,3.03
006,01027,1.248308,0.12560,3.20
007,01027,1.227078,0.12139,3.12
008,01026,1.237831,0.10934,2.79
009,01028,1.215168,0.10776,2.72
010,01028,1.198379,0.10257,2.54
011,01028,1.230295,0.11201,2.90
012,01028,1.204672,0.09650,2.43
013,01028,1.199575,0.09531,2.29
014,01027,1.203588,0.08334,1.94
015,01028,1.180735,0.08542,1.94
016,01028,1.171095,0.08054,1.87
017,01027,1.175219,0.07779,1.74
018,01026,1.175724,0.07735,1.74
019,01026,1.177051,0.07721,1.69
020,01026,1.170149,0.07720,1.69
