epoch,time(s),train_loss,test_loss,test_error(%)
001,01133,1.268990,0.28439,7.52
002,00959,1.240681,0.17271,4.47
003,00959,1.237632,0.17995,4.99
004,00959,1.242795,0.19285,4.69
005,00959,1.234903,0.12461,3.18
006,00959,1.248009,0.11315,2.80
007,00959,1.208358,0.11979,2.76
008,00958,1.207498,0.10148,2.42
009,00959,1.210698,0.10701,2.65
010,00958,1.222780,0.10261,2.49
011,00958,1.210549,0.09571,2.43
012,00958,1.189299,0.09350,2.28
013,00958,1.220357,0.08879,2.11
014,00958,1.182220,0.08501,2.07
015,00958,1.196678,0.08092,1.85
016,00958,1.186699,0.07907,1.82
017,00958,1.180952,0.07820,1.78
018,00958,1.172233,0.07757,1.72
019,00958,1.182498,0.07538,1.61
020,00958,1.176426,0.07577,1.62
