epoch,time(s),train_loss,test_loss,test_error(%)
001,00190,3.958241,4.50405,90.33
002,00186,3.621344,4.18823,87.39
003,00186,3.319515,3.61312,80.20
004,00186,3.379342,3.79712,81.02
005,00186,3.231693,3.57194,78.18
006,00186,3.102180,3.35438,75.32
007,00186,3.095205,3.86644,80.06
008,00186,2.941132,3.36779,73.93
009,00187,2.828948,3.87020,78.03
010,00188,2.805056,3.29261,72.56
011,00189,2.749037,3.28038,71.86
012,00192,2.768615,3.05798,68.17
013,00189,2.801749,3.35645,73.40
014,00187,2.578352,3.42980,72.86
015,00187,2.826640,3.96325,77.14
016,00186,2.692683,3.24707,71.06
017,00187,2.704912,2.99353,68.91
018,00186,2.462380,2.83651,66.19
019,00187,2.675326,3.11330,69.11
020,00186,2.594023,3.26106,71.67
021,00187,2.619260,3.20414,70.58
022,00186,2.726840,3.28092,71.27
023,00186,2.569510,3.08645,69.93
024,00186,2.566481,3.13901,68.48
025,00186,2.452968,3.04928,65.88
026,00186,2.522932,2.99284,67.47
027,00186,2.592954,3.00656,66.81
028,00186,2.678428,3.11780,67.39
029,00186,2.670217,3.18335,70.49
030,00186,2.498405,3.02522,67.07
031,00186,2.492003,2.77483,62.64
032,00186,2.581407,2.89299,65.07
033,00186,2.597285,2.81337,63.45
034,00186,2.517643,3.05511,67.35
035,00186,2.354837,2.91816,65.56
036,00186,2.527644,2.65190,61.51
037,00186,2.333388,2.74029,62.38
038,00186,2.467940,2.87360,65.15
039,00186,2.417068,2.92441,64.98
040,00187,2.369955,2.97718,64.87
041,00186,2.594537,2.67228,60.98
042,00186,2.287785,2.79274,62.92
043,00186,2.445630,3.62387,71.76
044,00186,2.363082,2.84230,62.37
045,00186,2.536208,2.60998,60.73
046,00186,2.267497,3.01186,66.50
047,00186,2.319540,3.41907,68.88
048,00186,2.322612,2.99440,65.02
049,00186,2.422190,2.78008,62.59
050,00186,2.497080,2.60547,60.45
051,00186,2.332406,2.64366,60.29
052,00186,2.287492,2.63788,59.76
053,00186,2.424850,2.70903,61.87
054,00186,2.267114,2.46147,57.51
055,00186,2.181287,2.52249,58.42
056,00186,2.248663,2.50107,57.60
057,00186,2.185357,2.65405,59.92
058,00186,2.098042,2.40487,56.75
059,00186,2.154738,2.59854,58.98
060,00186,2.187010,2.53190,57.81
061,00186,2.160882,2.35629,55.30
062,00187,2.077757,2.44402,56.14
063,00186,2.073479,2.32193,54.33
064,00188,2.064219,2.50302,57.68
065,00188,2.072396,2.45420,55.97
066,00186,2.022162,2.42668,55.66
067,00187,2.025799,2.24484,52.71
068,00186,1.980162,2.39744,55.10
069,00186,2.073547,2.20756,52.82
070,00186,1.980100,2.26562,53.18
071,00186,1.927253,2.14021,50.26
072,00186,1.851061,2.18859,51.21
073,00186,2.021642,2.65098,58.17
074,00185,2.015305,2.11995,50.57
075,00186,1.828986,2.18858,50.92
076,00186,1.960466,2.13642,50.16
077,00185,1.744774,2.03428,48.94
078,00186,1.787827,2.04137,48.46
079,00185,1.906393,1.97965,47.25
080,00186,1.737480,2.00888,47.46
081,00185,1.839004,2.01960,47.45
082,00186,1.596569,1.97944,47.08
083,00186,1.586184,1.94647,46.15
084,00185,1.666329,1.94531,45.62
085,00186,1.605784,1.91380,45.96
086,00186,1.482635,1.90666,45.16
087,00186,1.436435,1.85752,44.68
088,00185,1.471802,1.87123,44.51
089,00186,1.445984,1.79798,43.23
090,00186,1.431462,1.81557,43.69
091,00186,1.379461,1.80659,43.04
092,00186,1.352924,1.76037,42.31
093,00186,1.407867,1.78459,42.64
094,00186,1.400541,1.76178,42.47
095,00186,1.320290,1.74149,41.96
096,00186,1.303430,1.74586,42.17
097,00186,1.374945,1.74049,41.95
098,00186,1.384627,1.73615,41.97
099,00186,1.306921,1.74614,41.87
100,00186,1.276633,1.74804,41.96
