epoch,time(s),train_loss,test_loss,test_error(%)
001,00477,4.089995,4.27845,90.33
002,00137,3.775277,4.47675,89.09
003,00112,3.352854,4.11164,85.08
004,00110,3.245483,4.25370,82.81
005,00156,3.005332,4.02308,81.14
006,00107,3.212944,3.84914,79.24
007,00130,3.193544,3.65735,78.38
008,00109,3.133065,3.91730,80.51
009,00132,3.075299,4.01572,79.90
010,00131,2.782091,3.86101,78.07
011,00105,2.792366,3.69898,77.63
012,00130,2.821520,3.62563,75.60
013,00110,2.833409,3.26020,73.52
014,00131,2.691672,3.47278,74.68
015,00131,2.652509,3.27343,71.72
016,00113,2.792732,3.39344,73.67
017,00130,2.752327,3.74108,76.52
018,00107,2.944724,3.48874,72.62
019,00111,2.612660,3.84449,75.74
020,00128,2.561512,3.40021,72.61
021,00115,2.470964,3.38269,71.75
022,00141,2.745785,3.17764,70.68
023,00103,2.773371,3.54766,73.96
024,00109,2.515625,3.16103,69.35
025,00132,2.756342,3.10867,69.37
026,00106,2.496605,2.85888,66.11
027,00112,2.594089,3.63564,73.38
028,00142,2.415532,3.27784,69.33
029,00104,2.408494,3.37484,71.13
030,00156,2.651542,3.05744,67.20
031,00118,2.681053,3.28973,69.61
032,00099,2.513091,3.19178,69.89
033,00126,2.448106,3.28267,69.69
034,00100,2.571424,3.38010,70.28
035,00124,2.635877,3.25311,69.19
036,00122,2.477453,3.04995,66.96
037,00103,2.612475,3.26009,70.37
038,00125,2.400976,3.14727,68.40
039,00119,2.267135,3.57267,70.97
040,00117,2.329244,2.93790,65.16
041,00106,2.389225,3.28491,67.76
042,00104,2.462260,3.20061,68.91
043,00125,2.490984,2.84061,62.91
044,00102,2.378439,3.44949,69.88
045,00123,2.289177,2.82198,63.52
046,00110,2.358770,3.59364,71.63
047,00100,2.479317,3.62094,71.79
048,00130,2.295629,2.80775,61.29
049,00105,2.621113,2.84043,63.96
050,00101,2.345355,2.71099,61.79
051,00135,2.333490,2.67622,61.12
052,00100,2.156683,2.77164,61.52
053,00108,2.400300,2.87945,63.23
054,00164,2.277430,2.75703,61.11
055,00103,2.322504,2.81669,62.37
056,00116,2.157090,2.82380,62.63
057,00109,2.142545,2.72703,61.10
058,00135,2.105051,2.58556,59.44
059,00102,2.176341,2.61462,59.91
060,00110,2.357000,2.56709,59.32
061,00117,2.208747,2.46449,56.57
062,00102,2.226086,2.58508,58.49
063,00136,2.031515,2.58018,58.26
064,00102,2.414740,2.72626,59.82
065,00121,2.081304,2.38303,54.51
066,00125,2.138966,2.38910,55.32
067,00110,1.933768,2.47112,56.38
068,00131,1.970526,2.39056,54.21
069,00112,2.061352,2.26450,52.74
070,00105,2.006933,2.31319,53.63
071,00131,1.826261,2.34591,54.05
072,00134,2.034071,2.15162,50.73
073,00109,2.002718,2.31049,53.07
074,00136,1.857539,2.17211,51.00
075,00115,1.897870,2.15154,50.53
076,00100,1.828527,2.18078,50.44
077,00131,1.878559,2.24446,50.97
078,00107,1.816505,2.08579,48.75
079,00127,1.770334,2.00796,46.98
080,00113,1.757848,1.97602,46.59
081,00122,1.719722,1.97073,46.96
082,00112,1.515514,1.96932,46.84
083,00124,1.640142,1.94415,45.56
084,00112,1.682610,1.93222,46.03
085,00129,1.537720,1.94526,45.53
086,00112,1.674007,1.89884,44.63
087,00116,1.583863,1.87282,44.03
088,00109,1.715845,1.88645,44.42
089,00131,1.416445,1.86662,44.30
090,00105,1.519596,1.84467,43.52
091,00120,1.582517,1.85447,43.54
092,00112,1.344718,1.82268,42.97
093,00113,1.564948,1.81493,42.80
094,00109,1.248377,1.81100,42.75
095,00127,1.396242,1.79022,42.43
096,00112,1.382976,1.78929,42.26
097,00106,1.340754,1.78570,42.11
098,00118,1.361105,1.77979,42.30
099,00116,1.252833,1.79516,42.24
100,00106,1.282977,1.78038,42.13
