epoch,time(s),train_loss,test_loss,test_error(%)
001,00328,4.263984,5.65109,96.54
002,00232,3.825216,4.32100,88.71
003,00235,3.366054,3.99749,85.30
004,00235,3.275461,3.97703,82.25
005,00235,3.139791,3.82832,81.32
006,00235,3.000138,3.50802,77.14
007,00234,2.918985,3.69442,77.14
008,00234,2.768360,3.34139,75.17
009,00237,2.927844,3.65537,77.15
010,00234,2.906489,3.16431,71.80
011,00234,2.594239,3.50748,75.10
012,00234,2.792343,3.32845,71.61
013,00234,2.701469,4.09255,79.00
014,00234,2.510572,3.55370,74.81
015,00234,2.605537,3.37145,71.70
016,00234,2.537105,3.64798,74.84
017,00234,2.778526,4.17398,81.22
018,00234,2.434476,3.09401,69.16
019,00234,2.483258,3.18844,70.69
020,00234,2.460750,3.04412,70.41
021,00234,2.421535,2.92220,66.84
022,00234,2.721947,3.17487,68.54
023,00235,2.433266,3.13764,68.85
024,00234,2.610860,3.19557,68.68
025,00234,2.618896,2.88505,65.88
026,00234,2.340566,2.86973,65.00
027,00234,2.318534,3.19953,69.41
028,00234,2.315463,2.80661,64.49
029,00234,2.392396,2.76986,62.78
030,00234,2.458801,2.96169,65.27
031,00234,2.364020,2.73172,62.58
032,00234,2.305569,2.79020,63.41
033,00233,2.326760,2.66245,62.03
034,00233,2.378451,2.64428,61.60
035,00233,2.454099,2.89076,66.19
036,00233,2.215659,2.72269,62.67
037,00233,2.385482,2.77428,62.82
038,00233,2.372653,2.69669,60.72
039,00233,2.192468,2.56031,60.23
040,00236,2.053221,2.69830,61.47
041,00234,2.037608,2.44799,58.21
042,00235,2.190832,2.66600,61.14
043,00233,2.142247,2.69979,61.99
044,00234,2.122145,3.07916,65.49
045,00235,2.133955,2.49103,58.72
046,00233,2.229287,2.93473,64.60
047,00234,2.070537,2.35127,56.03
048,00233,2.189653,2.51709,59.69
049,00233,2.091208,2.41812,57.18
050,00233,1.907027,2.34801,56.84
051,00236,1.964950,2.26678,54.36
052,00234,1.953808,2.46826,56.94
053,00234,2.138037,2.30502,55.28
054,00233,2.035081,2.38786,56.76
055,00234,1.944091,2.31228,55.09
056,00233,1.994573,2.38695,54.90
057,00233,1.876535,2.21107,53.26
058,00233,1.768128,2.35633,55.30
059,00233,2.007308,2.31596,54.50
060,00244,2.070002,2.19936,53.37
061,00236,2.049118,2.25946,53.37
062,00233,1.668581,2.34264,54.26
063,00233,1.859179,2.38926,55.49
064,00233,1.875941,2.06517,49.88
065,00233,1.688987,2.09702,49.91
066,00233,1.898929,2.05812,49.68
067,00233,1.768503,2.02577,49.02
068,00234,1.694112,2.03817,48.77
069,00233,1.709342,2.02872,48.97
070,00234,1.546808,1.99333,47.95
071,00234,1.625584,1.95658,47.03
072,00233,1.593747,1.89672,45.77
073,00234,1.635784,2.02711,48.56
074,00234,1.433029,1.89371,46.30
075,00234,1.559641,1.89362,45.62
076,00236,1.566267,1.82075,44.61
077,00235,1.593356,1.85170,44.99
078,00234,1.472293,1.78226,43.63
079,00234,1.467877,1.80302,43.27
080,00234,1.304554,1.81515,43.90
081,00234,1.320205,1.78383,42.78
082,00234,1.423458,1.76659,42.45
083,00234,1.291561,1.68741,41.37
084,00234,1.173849,1.70296,41.18
085,00234,1.201546,1.66166,40.49
086,00234,1.218693,1.65905,40.15
087,00234,1.186763,1.64342,39.59
088,00234,1.107562,1.65212,39.95
089,00239,1.101691,1.66175,39.76
090,00234,1.114774,1.60246,38.79
091,00234,0.953439,1.59307,38.01
092,00235,0.992521,1.60198,37.96
093,00234,0.762368,1.59141,38.55
094,00235,0.740617,1.59084,38.27
095,00235,0.926819,1.57705,38.12
096,00235,0.895400,1.57669,37.84
097,00234,0.780554,1.57825,37.80
098,00234,0.891181,1.57596,37.64
099,00234,0.774376,1.57296,37.75
100,00235,0.792875,1.58516,37.99
