epoch,time(s),train_loss,test_loss,test_error(%)
001,00375,4.214797,4.59898,93.92
002,00258,3.626096,4.02090,87.66
003,00258,3.332812,3.48268,78.80
004,00259,3.235482,3.89220,82.26
005,00258,3.001070,3.31520,75.84
006,00260,3.001821,3.45294,75.65
007,00258,2.829845,4.11584,80.44
008,00258,2.794723,3.26235,73.49
009,00258,2.717312,3.02114,70.74
010,00258,2.691317,2.99498,68.90
011,00258,2.569899,3.40239,72.64
012,00259,2.626697,3.21910,70.97
013,00258,2.618477,2.98753,67.02
014,00259,2.471279,2.96990,68.71
015,00259,2.618292,2.93038,66.47
016,00259,2.604775,2.89792,66.47
017,00258,2.518097,3.64595,72.69
018,00258,2.398333,2.70723,64.47
019,00260,2.479815,2.95923,66.53
020,00258,2.423637,2.90792,67.47
021,00258,2.288901,2.70471,62.83
022,00258,2.382532,2.64780,62.86
023,00258,2.388692,2.86664,65.97
024,00258,2.480348,2.83258,64.83
025,00258,2.275289,2.73542,63.82
026,00258,2.408153,3.18168,68.27
027,00258,2.435059,2.74119,62.93
028,00258,2.311676,2.66449,61.51
029,00258,2.224161,2.70567,62.54
030,00258,2.381597,2.67735,62.58
031,00258,2.222073,2.78686,63.39
032,00258,2.205693,3.32412,72.80
033,00260,2.263880,2.55179,60.25
034,00258,2.164082,2.78073,63.06
035,00258,2.310363,2.61702,59.70
036,00258,2.285710,2.73768,62.71
037,00257,2.290757,3.03210,66.05
038,00258,2.308137,2.65157,61.27
039,00258,2.086624,2.52160,58.94
040,00258,2.182214,2.44060,58.49
041,00258,2.185380,2.40218,57.41
042,00258,2.265698,2.63699,60.17
043,00258,2.109507,2.58283,60.20
044,00258,2.143512,2.35610,56.31
045,00258,2.147034,2.50700,59.39
046,00258,2.129446,2.51844,58.33
047,00257,1.876816,2.29922,55.45
048,00258,2.107685,2.39023,57.09
049,00258,2.152868,2.48120,59.51
050,00257,2.042522,2.38864,56.85
051,00258,2.169810,2.43057,57.66
052,00258,2.001927,2.33130,56.17
053,00257,1.909966,2.31679,54.69
054,00258,2.031315,2.24464,54.31
055,00257,2.003855,2.17381,52.53
056,00257,2.008054,2.39821,56.62
057,00257,2.085629,2.09503,51.26
058,00258,1.905136,2.19631,52.41
059,00258,1.966526,2.29420,55.16
060,00257,1.894488,2.15630,51.68
061,00260,1.926078,2.14345,51.37
062,00257,1.796684,2.10711,50.87
063,00258,1.719145,2.12468,51.55
064,00257,1.847564,1.99645,48.80
065,00258,1.818770,2.01422,49.10
066,00257,1.848589,2.00363,48.48
067,00257,1.657491,1.95868,48.54
068,00258,1.700027,1.98721,48.50
069,00257,1.719573,1.95886,47.56
070,00257,1.829664,1.96313,47.48
071,00257,1.622290,1.95137,46.73
072,00258,1.504094,1.86448,45.06
073,00257,1.525213,1.83120,45.18
074,00257,1.568197,1.79143,44.31
075,00257,1.574940,1.84590,45.06
076,00257,1.476959,1.78744,43.70
077,00257,1.397360,1.74658,42.64
078,00258,1.428830,1.74598,42.82
079,00257,1.374012,1.72111,41.91
080,00258,1.369002,1.69131,41.58
081,00257,1.498535,1.77470,42.31
082,00257,1.290006,1.65889,39.99
083,00257,1.347991,1.67709,40.47
084,00257,1.187211,1.68363,40.76
085,00257,1.140580,1.63236,39.75
086,00257,1.237796,1.64184,40.32
087,00257,1.158153,1.59623,38.90
088,00258,1.143880,1.58055,38.82
089,00257,0.971515,1.56566,37.97
090,00257,0.996256,1.53572,37.83
091,00257,1.027898,1.54026,37.26
092,00257,0.878827,1.53100,37.11
093,00257,0.909606,1.52458,37.03
094,00257,0.891523,1.51592,36.50
095,00257,0.771605,1.50654,36.43
096,00257,0.899134,1.50911,36.51
097,00267,0.854933,1.50399,36.25
098,00257,0.850848,1.50624,36.57
099,00257,0.790022,1.50730,36.34
100,00257,0.899995,1.50597,36.34
